Name,Type,Category,Price,Location,County,No. of Bedrooms,No. of Bathrooms,No. of Ensuite Bedrooms,Date,Floor_area_sqm,Land_Size,Elevator,Parking,Condition,DSQ,Floor_Number,URL
Serviced 2 Bed Apartment at Links Road,Residential,Apartment,"KSh 7,000,000","Nyali Area, Nyali",Nairobi,2,2,1,2026-06-09,104,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-nyali-area-4006906
Serviced 3 Bed Apartment at Moyne Drive,Residential,Apartment,"KSh 17,000,000","Nyali Area, Nyali",Nairobi,3,2,1,2026-06-11,140,,1,1,,0,,https://www.buyrentkenya.com/listings/furnished-3-bedroom-apartment-for-sale-nyali-area-4007736
4 Bed Apartment in Lavington,Residential,Apartment,"KSh 13,500,000",Lavington,Nairobi,4,4,1,2026-06-14,,,1,1,,0,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-lavington-4005872
4 Bed Apartment in Kilimani,Residential,Apartment,"KSh 13,000,000",Kilimani,Nairobi,4,4,1,2026-06-15,119,,1,1,,1,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kilimani-4010073
3 Bed Apartment in Kilimani,Residential,Apartment,"KSh 9,000,000",Kilimani,Nairobi,3,3,1,2026-06-15,85,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kilimani-4010071
1 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 5,000,000","Westlands Area, Westlands",Nairobi,1,2,1,2026-06-13,43,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4009204
3 Bed Apartment in Kilimani,Residential,Apartment,"KSh 10,500,000",Kilimani,Nairobi,3,3,1,2026-06-15,102,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kilimani-4010069
2 Bed Apartment in Kilimani,Residential,Apartment,"KSh 6,000,000",Kilimani,Nairobi,2,2,1,2026-06-15,53,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4010067
2 Bed Apartment in Kilimani,Residential,Apartment,"KSh 7,000,000",Kilimani,Nairobi,2,2,1,2026-06-15,77,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4010066
1 Bed Apartment in Kilimani,Residential,Apartment,"KSh 3,000,000",Kilimani,Nairobi,1,1,1,2026-06-15,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4010064
1 Bed Apartment in Kilimani,Residential,Apartment,"KSh 4,000,000",Kilimani,Nairobi,1,1,1,2026-06-15,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4010063
4 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 17,900,000","Westlands Area, Westlands",Nairobi,4,4,1,2026-06-15,178,,1,1,,0,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-westlands-area-4010062
4 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 11,000,000","Westlands Area, Westlands",Nairobi,4,4,1,2026-06-15,114,,1,1,,0,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-westlands-area-4010061
3 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 11,000,000","Westlands Area, Westlands",Nairobi,3,3,1,2026-06-15,86,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-westlands-area-4010060
3 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 11,000,000","Westlands Area, Westlands",Nairobi,3,3,1,2026-06-15,89,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-westlands-area-4010059
