Name,Type,Category,Price,Location,County,No. of Bedrooms,No. of Bathrooms,No. of Ensuite Bedrooms,Date,Floor_area_sqm,Land_Size,Elevator,Parking,Condition,DSQ,Floor_Number,URL
3 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 9,000,000",Kileleshwa,,3.0,3.0,1.0,2026-06-23,110.0,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-4015371
3 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 9,000,000",Kileleshwa,,3.0,3.0,1.0,2026-06-15,103.0,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-4010488
2 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 7,000,000",Kileleshwa,,2.0,2.0,1.0,2026-06-23,64.0,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kileleshwa-4015250
3 Bed Apartment in Kilimani,Residential,Apartment,"KSh 10,000,000",Kilimani,,3.0,2.0,1.0,2026-06-29,102.0,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kilimani-4018584
2 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 7,000,000","Westlands Area, Westlands",,2.0,1.0,1.0,2026-06-29,,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4018581
2 Bed Apartment in Lavington,Residential,Apartment,"KSh 6,000,000",Lavington,,2.0,1.0,1.0,2026-06-29,50.0,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-lavington-4018578
2 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 6,000,000",Kileleshwa,,2.0,1.0,1.0,2026-06-29,64.0,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kileleshwa-4018574
2 Bed Apartment in Kilimani,Residential,Apartment,"KSh 6,000,000",Kilimani,,2.0,1.0,1.0,2026-06-29,56.0,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4018572
1 Bed Apartment in Westlands Area,Residential,Apartment,"KSh 4,000,000","Westlands Area, Westlands",,1.0,1.0,1.0,2026-06-29,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4018571
1 Bed Apartment in Lavington,Residential,Apartment,"KSh 3,000,000",Lavington,,1.0,1.0,1.0,2026-06-29,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-lavington-4018570
1 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 3,000,000",Kileleshwa,,1.0,1.0,1.0,2026-06-29,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kileleshwa-4018567
1 Bed Apartment in Kilimani,Residential,Apartment,"KSh 3,000,000",Kilimani,,1.0,1.0,1.0,2026-06-29,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4018557
Land in Ruiru,Land,Land,"KSh 3,500,000",Ruiru,Kiambu,,,,2026-06-29,500.0,8 acre,0,0,,0,,https://www.buyrentkenya.com/listings/land-for-sale-ruiru-4018736
4 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 20,000,000",Kileleshwa,,4.0,5.0,1.0,2026-06-27,250.0,,1,1,,0,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kileleshwa-4018026
3 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 10,500,000",Kileleshwa,,3.0,3.0,1.0,2026-06-27,,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-4018025
2 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 7,000,000",Kileleshwa,,2.0,2.0,1.0,2026-06-27,78.0,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kileleshwa-4018024
1 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 4,000,000",Kileleshwa,,1.0,1.0,1.0,2026-06-27,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kileleshwa-4018023
4 Bed Apartment in Lavington,Residential,Apartment,"KSh 20,000,000",Lavington,,4.0,5.0,1.0,2026-06-27,,,1,1,,0,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-lavington-4018022
3 Bed Apartment in Lavington,Residential,Apartment,"KSh 9,000,000",Lavington,,3.0,3.0,1.0,2026-06-27,91.0,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-lavington-4018009
2 Bed Apartment in Lavington,Residential,Apartment,"KSh 7,000,000",Lavington,,2.0,2.0,1.0,2026-06-27,,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-lavington-4018019
1 Bed Apartment in Lavington,Residential,Apartment,"KSh 4,000,000",Lavington,,1.0,1.0,1.0,2026-06-27,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-lavington-4018017
4 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 13,000,000",Kileleshwa,,4.0,5.0,1.0,2026-06-27,125.0,,1,1,,0,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kileleshwa-4018061
3 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 9,000,000",Kileleshwa,,3.0,3.0,1.0,2026-06-27,103.0,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-4018057
2 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 6,000,000",Kileleshwa,,2.0,2.0,1.0,2026-06-27,64.0,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kileleshwa-4018043
1 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 3,000,000",Kileleshwa,,1.0,1.0,1.0,2026-06-27,,,1,1,,0,,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kileleshwa-4018042
Serviced 3 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 31,000,000",Kileleshwa,,3.0,4.0,1.0,2026-06-04,262.0,,1,1,,0,,https://www.buyrentkenya.com/listings/furnished-3-bedroom-apartment-for-sale-kileleshwa-4003610
3 Bed Apartment in Kileleshwa,Residential,Apartment,"KSh 29,000,000",Kileleshwa,,3.0,4.0,1.0,2026-06-16,2400.0,,1,1,,1,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-4011433
4 Bed Apartment at Githunguri Road,Residential,Apartment,"KSh 26,000,000",Kileleshwa,,4.0,5.0,1.0,2026-06-12,272.0,,1,1,,1,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kileleshwa-4009213
4 Bed Apartment in Lavington,Residential,Apartment,"KSh 13,000,000",Lavington,,4.0,5.0,1.0,2026-06-27,,,1,1,,0,,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-lavington-4018041
3 Bed Apartment in Lavington,Residential,Apartment,"KSh 10,500,000",Lavington,,3.0,3.0,1.0,2026-06-27,,,1,1,,0,,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-lavington-4018020
2 Bed Apartment in Lavington,Residential,Apartment,"KSh 6,000,000",Lavington,,2.0,2.0,1.0,2026-06-27,50.0,,1,1,,0,,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-lavington-4018039
